instance,algorithm,run_id,best_cost,decades,seed
berlin52,SBA,0,7902.0,5200,6197080
berlin52,SBA,1,7755.0,5200,6197097
berlin52,SBA,2,7902.0,5200,6197114
berlin52,SBA,3,7842.0,5200,6197131
berlin52,SBA,4,7749.0,5200,6197148
berlin52,SBA,5,7749.0,5200,6197165
berlin52,SBA,6,8033.0,5200,6197182
berlin52,SBA,7,7732.0,5200,6197199
berlin52,SBA,8,7986.0,5200,6197216
berlin52,SBA,9,7941.0,5200,6197233
berlin52,SBA,10,7762.0,5200,6197250
berlin52,SBA,11,8038.0,5200,6197267
berlin52,SBA,12,8108.0,5200,6197284
berlin52,SBA,13,7817.0,5200,6197301
berlin52,SBA,14,7967.0,5200,6197318
berlin52,SBA,15,8021.0,5200,6197335
berlin52,SBA,16,8038.0,5200,6197352
berlin52,SBA,17,7991.0,5200,6197369
berlin52,SBA,18,8033.0,5200,6197386
berlin52,SBA,19,7741.0,5200,6197403
berlin52,SBA,20,8061.0,5200,6197420
berlin52,SBA,21,7842.0,5200,6197437
berlin52,SBA,22,7991.0,5200,6197454
berlin52,SBA,23,7902.0,5200,6197471
berlin52,SBA,24,7991.0,5200,6197488
berlin52,SBA,25,8038.0,5200,6197505
berlin52,SBA,26,8010.0,5200,6197522
berlin52,SBA,27,8056.0,5200,6197539
berlin52,SBA,28,7944.0,5200,6197556
berlin52,SBA,29,7991.0,5200,6197573
berlin52,EA,0,7950.0,5200,6197056
berlin52,EA,1,8000.0,5200,6197073
berlin52,EA,2,8043.0,5200,6197090
berlin52,EA,3,7542.0,5200,6197107
berlin52,EA,4,7912.0,5200,6197124
berlin52,EA,5,8161.0,5200,6197141
berlin52,EA,6,7732.0,5200,6197158
berlin52,EA,7,8073.0,5200,6197175
berlin52,EA,8,8009.0,5200,6197192
berlin52,EA,9,8660.0,5200,6197209
berlin52,EA,10,7749.0,5200,6197226
berlin52,EA,11,7749.0,5200,6197243
berlin52,EA,12,7925.0,5200,6197260
berlin52,EA,13,7944.0,5200,6197277
berlin52,EA,14,8089.0,5200,6197294
berlin52,EA,15,8181.0,5200,6197311
berlin52,EA,16,7992.0,5200,6197328
berlin52,EA,17,8017.0,5200,6197345
berlin52,EA,18,7983.0,5200,6197362
berlin52,EA,19,8023.0,5200,6197379
berlin52,EA,20,7944.0,5200,6197396
berlin52,EA,21,7970.0,5200,6197413
berlin52,EA,22,7902.0,5200,6197430
berlin52,EA,23,8333.0,5200,6197447
berlin52,EA,24,8019.0,5200,6197464
berlin52,EA,25,7994.0,5200,6197481
berlin52,EA,26,8121.0,5200,6197498
berlin52,EA,27,8269.0,5200,6197515
berlin52,EA,28,8059.0,5200,6197532
berlin52,EA,29,8170.0,5200,6197549
berlin52,ICA,0,8039.0,5200,6197005
berlin52,ICA,1,8437.0,5200,6197022
berlin52,ICA,2,7711.0,5200,6197039
berlin52,ICA,3,8051.0,5200,6197056
berlin52,ICA,4,8265.0,5200,6197073
berlin52,ICA,5,7992.0,5200,6197090
berlin52,ICA,6,8406.0,5200,6197107
berlin52,ICA,7,8033.0,5200,6197124
berlin52,ICA,8,7820.0,5200,6197141
berlin52,ICA,9,7842.0,5200,6197158
berlin52,ICA,10,8159.0,5200,6197175
berlin52,ICA,11,8210.0,5200,6197192
berlin52,ICA,12,8347.0,5200,6197209
berlin52,ICA,13,7958.0,5200,6197226
berlin52,ICA,14,7924.0,5200,6197243
berlin52,ICA,15,8100.0,5200,6197260
berlin52,ICA,16,7986.0,5200,6197277
